b3437,GLUCONOKINII-MONOMER
b2712,EG11551-MONOMER
b2444,G7274-MONOMER
b2733,EG10625-MONOMER
b3177,H2PTEROATESYNTH-MONOMER
b3192,G7659-MONOMER
b1630,G6874-MONOMER
b4043,PD00205
b0097,EG11087-MONOMER
b1174,EG10598-MONOMER
b1069,G6561-MONOMER
b4381,DEOXYRIBOSE-P-ALD-MONOMER
b3181,EG10415-MONOMER
b4125,DCUS-MONOMER
b0420,DXS-MONOMER
b2560,EG11371-MONOMER
b3464,EG10346-MONOMER
b0854,POTF-MONOMER
b2681,G7404-MONOMER
b1646,G6886-MONOMER
b3629,EG11350-MONOMER
b1221,NARL-MONOMER
b0859,G6449-MONOMER
b1552,G6825-MONOMER
b1060,G6557-MONOMER
b2266,G7173-MONOMER
b2624,PD02850
b3273,thrV-tRNA
b4090,RIB5PISOMB-MONOMER
b1310,YCJN-MONOMER
b3813,EG11064-MONOMER
b1591,G6849-MONOMER
b0928,ASPAMINOTRANS-MONOMER
b4333,G7930-MONOMER
b1517,G6804-MONOMER
b0674,ASNSYNB-MONOMER
b3422,EG12356-MONOMER
b3566,XYLF-MONOMER
b2021,HISTPHOSTRANS-MONOMER
b3578,EG12282-MONOMER
b1578,G6836-MONOMER
b0043,EG11564-MONOMER
b2951,G7527-MONOMER
b0867,G6452-MONOMER
b1742,G6938-MONOMER
b2709,EG12108-MONOMER
b3533,EG12260-MONOMER
b0675,EG10634-MONOMER
b2569,EG10529-MONOMER
b2598,EG11271-MONOMER
b0208,EG11649-MONOMER
b0077,ACETOLACTSYNIII-ICHAIN-MONOMER
b0171,UMPKI-MONOMER
b0238,GPT-MONOMER
b2834,G7462-MONOMER
b4686,MONOMER0-2884
b4620,MONOMER0-2828
b1445,G6756-MONOMER
b0994,TORT-MONOMER
b3990,THIH-MONOMER
b4502,MONOMER0-2726
b1446,G6757-MONOMER
b3822,EG10833-MONOMER
b0074,2-ISOPROPYLMALATESYN-MONOMER
b1246,OPPD-MONOMER
b0534,EG12388-MONOMER
b3159,G7653-MONOMER
b3838,G7808-MONOMER
b3981,SECE
b4401,ARCA-MONOMER
b4221,G7875-MONOMER
b3301,EG10876-MONOMER
b3492,EG12229-MONOMER
b1783,G6969-MONOMER
b0196,RCSF-MONOMER
b2274,G7181-MONOMER
b4667,MONOMER0-2859
b1049,EG11886-MONOMER
b4216,G7871-MONOMER
b1604,G6860-MONOMER
b1664,G6894-MONOMER
b1391,G6712-MONOMER
b3241,G7686-MONOMER
b3253,EG11315-MONOMER
b0382,EG11256-MONOMER
b0037,CAIC-MONOMER
b2198,EG12169-MONOMER
b1201,G6628-MONOMER
b1852,GLU6PDEHYDROG-MONOMER
b0820,G6423-MONOMER
b1961,EG10211-MONOMER
b3006,EG10271-MONOMER
b2521,EG11600-MONOMER
b0487,G6263-MONOMER
b1952,G7045-MONOMER
b4298,G7911-MONOMER
b0064,PD00242
b1071,G369-MONOMER
b3984,EG10864-MONOMER
b4142,EG10600-MONOMER
b0960,G6495-MONOMER
b3430,GLUC1PADENYLTRANS-MONOMER
b0130,EG11749-MONOMER
b4680,MONOMER0-2874
b1912,PHOSPHAGLYPSYN-MONOMER
b0547,G6303-MONOMER
b0800,EG11580-MONOMER
b0078,ACETOLACTSYNIII-HCHAIN-MONOMER
b3789,DTDPGLUCOSEPP2-MONOMER
b2125,EG12006-MONOMER
b0656,MONOMER0-4235
b1859,ZNUB-MONOMER
b1249,CARDIOLIPSYN-MONOMER
b0047,KEFC-MONOMER
b4010,RRFE-RRNA
b0169,EG10901-MONOMER
b3143,G7638-MONOMER
b1392,G6713-MONOMER
b1840,G7013-MONOMER
b0248,G6123-MONOMER
b4064,EG11939-MONOMER
b1928,EG11659-MONOMER
b0762,G6396-MONOMER
b1459,G6768-MONOMER
b3607,SERINE-O-ACETTRAN-MONOMER
b4361,EG10237-MONOMER
b0492,G6268-MONOMER
b0581,G6326-MONOMER
b3308,EG10868-MONOMER
b3819,EG11466-MONOMER
b2478,DIHYDRODIPICSYN-MONOMER
b2121,EG12002-MONOMER
b4072,NRFC-MONOMER
b1866,ASPS-MONOMER
b4297,G7910-MONOMER
b0087,PHOSNACMURPENTATRANS-MONOMER
b2342,G7213-MONOMER
b2439,G7271-MONOMER
b1181,G6618-MONOMER
b2263,EG12438-MONOMER
