b3437,GLUCONOKINII-MONOMER
b2313,EG10169-MONOMER
b0182,LIPIDADISACCHARIDESYNTH-MONOMER
b0417,THI-P-KIN-MONOMER
b2730,EG10487-MONOMER
b3640,DUTP-PYROP-MONOMER
b1242,EG11342-MONOMER
b0287,G6158-MONOMER
b3744,ASNSYNA-MONOMER
b4541,MONOMER0-2680
b3363,EG10757-MONOMER
b1819,MANZ-MONOMER
b0243,GLUTSEMIALDEHYDROG-MONOMER
b3114,KETOBUTFORMLY-INACT-MONOMER
b3602,EG11964-MONOMER
b4081,YJCQ-MONOMER
b0558,G6313-MONOMER
b4110,G7823-MONOMER
b1520,G6807-MONOMER
b4089,G7821-MONOMER
b0409,SECF
b4682,MONOMER0-2882
b1287,G6640-MONOMER
b1882,CHEY-MONOMER
b0596,ENTA-MONOMER
b0968,G6502-MONOMER
b3029,EG12657-MONOMER
b3782,EG12428-MONOMER
b2589,RRLG-RRNA
b0942,G6484-MONOMER
b1238,TDK-MONOMER
b3281,AROE-MONOMER
b2348,argW-tRNA
b1954,DSRA-RNA
b4114,EG11613-MONOMER
b4236,CYTOCHROME-B562-MONOMER
b4071,CYTOCHROMEC-MONOMER
b1172,G6612-MONOMER
b3531,EG12258-MONOMER
b2784,RELA-MONOMER
b3939,O-SUCCHOMOSERLYASE-MONOMER
b1540,G6814-MONOMER
b2100,G7132-MONOMER
b3802,EG10434-MONOMER
b3224,NANT-MONOMER
b0835,G6435-MONOMER
b0947,G6487-MONOMER
b2087,PD02366
b3311,EG10916-MONOMER
b1971,G7059-MONOMER
b2563,HOLO-ACP-SYNTH-MONOMER
b0360,G6212-MONOMER
b4169,NACMURLALAAMI2-MONOMER
b2567,EG10857-MONOMER
b3580,LYXK-MONOMER
b4194,YJFT-MONOMER
b3963,EG11394-MONOMER
b1351,EG10813-MONOMER
b0206,aspU-tRNA
b0411,EG11035-MONOMER
b1512,G6799-MONOMER
b4322,MANNONDEHYDRAT-MONOMER
b1760,G6955-MONOMER
b1187,PD01520
b3080,G7599-MONOMER
b1301,EG11822-MONOMER
b0676,PD00266
b3894,FDOG-MONOMER
b0058,EG12609-MONOMER
b0172,EG10335-MONOMER
b4394,EG12600-MONOMER
b1212,EG12424-MONOMER
b2836,AAS-MONOMER
b2740,B2740-MONOMER
b0366,TAUB-MONOMER
b0785,EG11598-MONOMER
b4324,EG20249-MONOMER
b3076,EG10252-MONOMER
b4264,G7891-MONOMER
b1797,G6983-MONOMER
b0281,G6152-MONOMER
b2314,EG10218-MONOMER
b2972,G7539-MONOMER
b2849,G7469-MONOMER
b2363,G7232-MONOMER
b4568,MONOMER0-2697
b0860,ARTJ-MONOMER
b4232,F16B-MONOMER
b2209,EG10255-MONOMER
b1641,G6881-MONOMER
b3937,EG11882-MONOMER
b1616,UIDB-MONOMER
b2357,G7226-MONOMER
b2864,glyU-tRNA
b0348,DHPDIOXYGEN-MONOMER
b0335,G6200-MONOMER
b1316,G6654-MONOMER
b3598,EG11765-MONOMER
b0873,G6457-MONOMER
b3480,NIKE-MONOMER
b3729,L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER
b4536,MONOMER0-2676
b4307,G7917-MONOMER
b3294,EG10878-MONOMER
b1022,G6529-MONOMER
b3158,G7652-MONOMER
b1485,YDDQ-MONOMER
b1682,G6908-MONOMER
b2369,EVGA-MONOMER
b1322,EG12870-MONOMER
b2240,GLPT-MONOMER
b4387,EG10951-MONOMER
b0826,EG10154-MONOMER
b4350,EG10459-MONOMER
b3987,RPOB-MONOMER
b4440,RYFA-RNA
b3507,EG11889-MONOMER
b0734,CYDB-MONOMER
b0568,EG11740-MONOMER
b4048,EG11931-MONOMER
b1343,EG10210-MONOMER
b0862,ARTQ-MONOMER
b3196,YRBG-MONOMER
b2409,G7257-MONOMER
b1551,G6824-MONOMER
b0792,YBHR-MONOMER
b0193,EG12138-MONOMER
b3500,GLUTATHIONE-REDUCT-NADPH-MONOMER
b2758,G7428-MONOMER
b2817,G7458-MONOMER
b3265,EG10266-MONOMER
b4133,PD00436
b0476,EG11101-MONOMER
b3751,RBSB-MONOMER
b2535,G7329-MONOMER
b4482,EG11462-MONOMER
b0273,CHAINF-MONOMER
b3151,G7645-MONOMER
b1522,G6808-MONOMER
b2617,EG10952-MONOMER
b0102,EG12313-MONOMER
b3050,G7588-MONOMER
b4621,MONOMER0-2829
b0959,G6494-MONOMER
b3077,EG10253-MONOMER
b2244,EG12323-MONOMER
b0388,AROL-MONOMER
b3156,G7650-MONOMER
b1807,G6991-MONOMER
b1072,G357-MONOMER
b4044,DINF-MONOMER
b4422,RNA0-162
b2167,FRUA-MONOMER
b2731,PD02936
b2216,EG12385-MONOMER
b3061,TTDA-MONOMER
b1824,G7000-MONOMER
b1779,GAPDH-A-MONOMER
b4485,YTFR-MONOMER
b3817,EG11464-MONOMER
b1471,G6772-MONOMER
b1410,G6729-MONOMER
b1662,RIBOFLAVIN-SYN-MONOMER
b2517,EG12401-MONOMER
b1766,EG10968-MONOMER
b4286,G7907-MONOMER
b1092,MALONYL-COA-ACP-TRANSACYL-MONOMER
b1299,EG12431-MONOMER
b1723,6PFK-2-MONOMER
b0921,EG12167-MONOMER
b0932,EG10696-MONOMER
b3392,G7736-MONOMER
b0607,G6334-MONOMER
b2570,G7347-MONOMER
b0944,EG12397-MONOMER
b0642,LEUS-MONOMER
b2922,EG11244-MONOMER
b3679,YIDK-MONOMER
b3585,EG12289-MONOMER
b3106,G7620-MONOMER
b0443,G6244-MONOMER
b1255,EG11123-MONOMER
b4453,MONOMER0-921
b0466,EG12830-MONOMER
b0898,YCAD-MONOMER
b2175,G7147-MONOMER
b1537,EG11645-MONOMER
b3369,G7722-MONOMER
b0003,HOMOSERKIN-MONOMER
b4189,G7852-MONOMER
b2279,NUOK-MONOMER
b0646,G6353-MONOMER
b4201,EG10764-MONOMER
b1947,EG11224-MONOMER
b3956,PEPCARBOX-MONOMER
b0192,EG12137-MONOMER
b4016,ICITDEHASE-KIN-PHOSPHA
b0308,G6178-MONOMER
b0062,ARABISOM-MONOMER
b1834,G7007-MONOMER
b3688,EG11712-MONOMER
b3952,EG11911-MONOMER
b2642,G7377-MONOMER
b3251,EG10608-MONOMER
b4186,EG11812-MONOMER
b4476,GNTU-MONOMER
b1338,G6670-MONOMER
b1281,OROTPDECARB-MONOMER
b0713,G6382-MONOMER
b0520,G6289-MONOMER
b4521,MONOMER0-2666
b1676,PKI-MONOMER
b3555,EG12624-MONOMER
b2936,EG11291-MONOMER
b1280,EG12691-MONOMER
b0988,G6509-MONOMER
b3592,EG11762-MONOMER
b2076,B2076-MONOMER
b2080,G7117-MONOMER
b2710,G7413-MONOMER
b0421,FPPSYN-MONOMER
b0843,G6441-MONOMER
b4464,G7504-MONOMER
b3736,ATPF-MONOMER
b1160,G6600-MONOMER
b1655,G6892-MONOMER
b0633,EG10854-MONOMER
b2353,G7222-MONOMER
b0140,EG11973-MONOMER
b2411,EG10534-MONOMER
b4078,EG11951-MONOMER
b2293,G7187-MONOMER
b0334,G6199-MONOMER
b0205,RRFH-RRNA
b1077,FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN
b3180,EG12794-MONOMER
b3864,SPF-RNA
b0874,G6458-MONOMER
b2205,NAPG-MONOMER
b4624,RNA0-333
b4241,EG12202-MONOMER
b3502,ARSF-MONOMER
b2862,G7482-MONOMER
b3719,EG11729-MONOMER
b0938,G6480-MONOMER
b3615,EG11266-MONOMER
b3720,EG11364-MONOMER
b4477,DEHYDDEOXPHOSGALACT-ALDOL-MONOMER
b0258,G6133-MONOMER
b2152,EG11290-MONOMER
b3969,gltT-tRNA
b1675,G6903-MONOMER
b3835,2-OCTAPRENYLPHENOL-HYDROX-MONOMER
b3154,G7648-MONOMER
b4373,EG10850-MONOMER
b1688,G6914-MONOMER
b0464,EG12116-MONOMER
b3739,EG10106-MONOMER
b0354,G6207-MONOMER
b4353,G7941-MONOMER
b0200,EG11736-MONOMER
b1361,G6685-MONOMER
b2337,G7208-MONOMER
b4398,CREB-MONOMER
b3823,RHTC-MONOMER
b2143,CYTIDEAM-MONOMER
b4210,G7867-MONOMER
b0704,EG11523-MONOMER
b3252,EG10018-MONOMER
b2547,YPHE-MONOMER
b4238,RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER
b4432,RYEA-RNA
b3534,EG12261-MONOMER
b2897,G7510-MONOMER
b0389,EG11093-MONOMER
b3927,GLPF-MONOMER
b1500,MONOMER0-2841
b1624,G6868-MONOMER
b1412,G6731-MONOMER
b0733,CYDA-MONOMER
b1610,EG11038-MONOMER
b3366,NIRD-MONOMER
b0461,EG12429-MONOMER
b1177,G6614-MONOMER
b1594,PD01896
b3988,RPOC-MONOMER
b2243,ANGLYC3PDEHYDROGSUBUNITC-MONOMER
b0414,RIBOFLAVINSYNDEAM-MONOMER
b2347,G7217-MONOMER
b1949,EG11976-MONOMER
b3065,EG10920-MONOMER
b3769,SMALLILVM-MONOMER
b2345,G7215-MONOMER
b2387,G7250-MONOMER
b3102,G7616-MONOMER
b4655,MONOMER0-2840
b4479,G7790-MONOMER
b4553,MONOMER0-2689
b2832,G7460-MONOMER
b3461,RPOH-MONOMER
b2078,BAES-MONOMER
b4362,EG10244-MONOMER
b0244,thrW-tRNA
b4084,EG11956-MONOMER
b4458,OXYS-RNA
b4283,G7904-MONOMER
b1100,EG12303-MONOMER
b0636,EG11254-MONOMER
b1825,G7001-MONOMER
b3721,EG10114-MONOMER
b1519,G6806-MONOMER
b4487,MONOMER0-1541
b3905,PD00221
b4004,HYDG-MONOMER
b2308,HISQ-MONOMER
b4351,EG10612-MONOMER
b4272,MONOMER0-4254
b3572,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER
b1102,EG10306-MONOMER
b2963,G7533-MONOMER
b3330,G7708-MONOMER
b3280,G7697-MONOMER
b0649,G6356-MONOMER
b2220,ATOC-MONOMER
b2445,G7275-MONOMER
b2553,PROTEIN-PII
b2639,G7374-MONOMER
b0731,HRSA-MONOMER
b1215,KDO-8PSYNTH-MONOMER
b4093,EG10724-MONOMER
b0044,EG11565-MONOMER
b2880,G7499-MONOMER
b3052,G7590-MONOMER
b1501,G6791-MONOMER
b3979,thrT-tRNA
b3345,G7714-MONOMER
b2262,NAPHTHOATE-SYN-MONOMER
b3650,SPOT-MONOMER
b3329,G7707-MONOMER
b3672,EG11275-MONOMER
b3348,EG11664-MONOMER
b1698,G6921-MONOMER
b4701,RNA0-357
b3025,G7575-MONOMER
b1791,B1791-MONOMER
b0483,G6259-MONOMER
b2231,EG10423-MONOMER
b4400,EG10145-MONOMER
b0518,G6287-MONOMER
b1554,G6827-MONOMER
b4517,MONOMER0-1701
b4254,CHAINI-MONOMER
b1754,G6949-MONOMER
b3190,G7657-MONOMER
b3605,L-LACTDEHYDROGFMN-MONOMER
b1486,YDDR-MONOMER
b2335,G7206-MONOMER
b3620,EG12210-MONOMER
b1320,G6658-MONOMER
b3906,PD00222
b3677,EG11697-MONOMER
b3521,EG12247-MONOMER
b4211,G7868-MONOMER
b1804,EG10858-MONOMER
b0593,ENTC-MONOMER
b3053,GLNE-MONOMER
b0049,EG10048-MONOMER
b3282,G7698-MONOMER
b0707,EG11108-MONOMER
b0930,ASNS-MONOMER
b3199,G7664-MONOMER
b3900,FRVA-MONOMER
b2815,metW-tRNA
b3178,EG11506-MONOMER
b2134,EG12015-MONOMER
b2828,EG12128-MONOMER
b4209,G7866-MONOMER
b1600,B1600-MONOMER
b4055,APHA-MONOMER
b2946,EG12366-MONOMER
b2724,HYCBSMALL-MONOMER
b4132,CADB-MONOMER
b2599,CHORISMUTPREPHENDEHYDRAT-MONOMER
b2214,EG12073-MONOMER
b3661,EG10657-MONOMER
b3127,YHAU-MONOMER
b1597,G6855-MONOMER
b3801,ARYLSULFAT-MONOMER
b1429,TEHA-MONOMER
b4138,DCUA-MONOMER
b3123,RNPB-RNA
b1089,EG10890-MONOMER
b0390,EG10083-MONOMER
b0141,EG12328-MONOMER
b0341,CYNX-MONOMER
b3247,EG11299-MONOMER
b3070,G7593-MONOMER
b1420,G6736-MONOMER
b1913,EG11063-MONOMER
b4260,EG10694-MONOMER
b0806,G6415-MONOMER
b4463,G7439-MONOMER
b2428,G7263-MONOMER
b4547,MONOMER0-2685
b4425,RNA0-164
b2687,EG12712-MONOMER
b3201,YHBG-MONOMER
b2494,G7311-MONOMER
b1841,G7014-MONOMER
b2597,EG11151-MONOMER
b1927,ALPHA-AMYL-CYTO-MONOMER
b3551,EG10124-MONOMER
b1635,GST-MONOMER
b1163,G6603-MONOMER
b3332,G7710-MONOMER
b0923,EG11252-MONOMER
b1535,EG11643-MONOMER
b3771,DIHYDROXYACIDDEHYDRAT-MONOMER
b1561,EG11129-MONOMER
b1897,TREHALOSEPHOSPHASYN-MONOMER
b2130,YEHY-MONOMER
b1506,G6796-MONOMER
b0468,EG12843-MONOMER
b1612,FUMA-MONOMER
b3187,OPPSYN-MONOMER
b2949,G7525-MONOMER
b2327,EG11144-MONOMER
b3043,EG12363-MONOMER
b2361,G7230-MONOMER
b2744,EG11817-MONOMER
b4397,EG11217-MONOMER
b1989,asnV-tRNA
b0594,ENTE-MONOMER
b0881,G6463-MONOMER
b3341,EG10906-MONOMER
b2147,EG11289-MONOMER
b3649,EG10899-MONOMER
b4067,YJCG-MONOMER
b0627,EG11305-MONOMER
b3498,EG11441-MONOMER
b1493,GLUTDECARBOXB-MONOMER
b4069,ACS-MONOMER
b3624,EG11426-MONOMER
b3044,MONOMER0-4253
b1772,G6959-MONOMER
b1270,COBALADENOSYLTRANS-MONOMER
b3591,EG10941-MONOMER
b1107,G6567-MONOMER
b1759,G6954-MONOMER
b3300,SECY
b2558,EG11373-MONOMER
b2189,proL-tRNA
b3825,EG10739-MONOMER
b0992,G6513-MONOMER
b1718,EG10506-MONOMER
b1424,EG12859-MONOMER
b3467,EG12213-MONOMER
b1746,SUCCGLUALDDEHYD-MONOMER
b0687,EG12197-MONOMER
b2958,EG12705-MONOMER
b0228,G6112-MONOMER
b4154,FUM-FLAVO
b4554,MONOMER0-2690
b2383,G7246-MONOMER
b3118,PD00268
b4027,EG11924-MONOMER
b2729,EG10486-MONOMER
b0040,CAIT-MONOMER
b2245,G7158-MONOMER
b2692,argZ-tRNA
b2566,EG10270-MONOMER
b0116,E3-MONOMER
b0149,EG10605-MONOMER
b2660,EG12387-MONOMER
b2405,EG11146-MONOMER
b1076,G361-MONOMER
b4376,EG11391-MONOMER
b0919,G6473-MONOMER
b3371,G7723-MONOMER
b4288,FECD-MONOMER
b1273,EG12868-MONOMER
b4076,EG11950-MONOMER
b4176,G7844-MONOMER
b4426,IS061-RNA
b1762,G6956-MONOMER
b2609,EG10915-MONOMER
b3299,EG11232-MONOMER
b4060,EG11937-MONOMER
b2630,G7365-MONOMER
b3407,G7746-MONOMER
b0900,G6467-MONOMER
b4602,MONOMER0-2822
b0786,G6403-MONOMER
b4528,MONOMER0-2671
b1214,EG11251-MONOMER
b2537,G7331-MONOMER
b3326,G7704-MONOMER
b1802,G6988-MONOMER
b2559,EG11372-MONOMER
b3090,G7608-MONOMER
b1650,G6890-MONOMER
b0980,APPA-MONOMER
b2119,EG11998-MONOMER
b1806,G6990-MONOMER
b3994,THIC-MONOMER
b4665,MONOMER0-2857
b1408,G6727-MONOMER
b3544,DPPA-MONOMER
b4163,glyV-tRNA
b3444,MONOMER0-4226
b0385,EG11257-MONOMER
b1532,EG11599-MONOMER
b3749,RBSA-MONOMER
b2762,PAPSSULFOTRANS-MONOMER
b3267,G7695-MONOMER
b3583,EG12287-MONOMER
b3899,FRVB-MONOMER
b3881,EG11846-MONOMER
b1389,G6710-MONOMER
b1514,YDEY-MONOMER
b0856,POTH-MONOMER
b2822,EG10825-MONOMER
b0325,G6190-MONOMER
b1342,G6674-MONOMER
b3270,YHDY-MONOMER
b3818,EG11465-MONOMER
b3712,EG11722-MONOMER
b1975,serU-tRNA
b0841,G6439-MONOMER
b3333,G7711-MONOMER
b4474,G7724-MONOMER
b0090,NACGLCTRANS-MONOMER
b1680,G6906-MONOMER
b0817,G6420-MONOMER
b1648,G6888-MONOMER
b0954,FABA-MONOMER
b3545,proK-tRNA
b2421,ACSERLYB-MONOMER
b2769,G7435-MONOMER
b2698,EG12080-MONOMER
b3062,TTDB-MONOMER
b2728,EG10485-MONOMER
b2515,EG10370-MONOMER
b4367,G7949-MONOMER
b0579,G6324-MONOMER
b4014,MALATE-SYNTHASE
b0569,EG11739-MONOMER
b1173,G6613-MONOMER
b0948,G6488-MONOMER
b0418,PGPPHOSPHAA-MONOMER
b3086,G7605-MONOMER
b3291,EG11180-MONOMER
b0805,G6414-MONOMER
b2170,B2170-MONOMER
b3233,G7681-MONOMER
b1469,NARU-MONOMER
b2857,G7477-MONOMER
b1960,EG11068-MONOMER
b2844,G7464-MONOMER
b3586,EG12290-MONOMER
b1183,EG11057-MONOMER
b4527,MONOMER0-2670
b0245,G6120-MONOMER
b0972,HYAA-MONOMER
b0250,G6125-MONOMER
b2108,EG11987-MONOMER
b4052,EG10236-MONOMER
b2001,G7081-MONOMER
b4311,G7921-MONOMER
b2273,G7180-MONOMER
b4668,MONOMER0-2858
b4101,EG10716-MONOMER
b1067,EG11537-MONOMER
b1438,G6749-MONOMER
b0288,G6159-MONOMER
b0696,EG10515-MONOMER
b1264,ANTHRANSYNCOMPI-MONOMER
b2534,G7328-MONOMER
b1550,G6823-MONOMER
b0022,G6086-MONOMER
b0134,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER
b0458,G6253-MONOMER
b2258,G7171-MONOMER
b4684,MONOMER0-2883
b0160,DGTPTRIPHYDRO-MONOMER
b2737,G7418-MONOMER
b0425,2-DEHYDROPANTOATE-REDUCT-MONOMER
b2415,PTSH-MONOMER
b2339,G7210-MONOMER
b0564,PD00967
b0025,RIBF-MONOMER
b1918,G7037-MONOMER
b0319,G6184-MONOMER
b1210,GLUTRNAREDUCT-MONOMER
b0396,ARAJ-MONOMER
b2743,EG10689-MONOMER
b4470,G7622-MONOMER
b2796,SDAC-MONOMER
b3173,G7655-MONOMER
b1070,G6562-MONOMER
b1178,G6615-MONOMER
b1377,G6700-MONOMER
b0386,PYRROLINECARBREDUCT-MONOMER
b4162,G7842-MONOMER
b2820,EG10824-MONOMER
b0080,PD00521
b3896,EG11860-MONOMER
b1207,PRPPSYN-MONOMER
b1581,G6839-MONOMER
b3325,G7703-MONOMER
b1096,ADCLY-MONOMER
b3213,GLUSYNSMALL-MONOMER
b0891,G6465-MONOMER
b4296,YJHF-MONOMER
b0394,EG11288-MONOMER
b0162,EG12335-MONOMER
b2720,HYCF-MONOMER
b2238,EG12881-MONOMER
b4386,EG11796-MONOMER
b2924,EG11160-MONOMER
b2590,gltW-tRNA
b1950,EG11977-MONOMER
b1719,THRS-MONOMER
b2883,G7502-MONOMER
b4062,PD00406
b2470,ACRD-MONOMER
b1225,NARH-MONOMER
b1006,B1006-MONOMER
b3056,EG10136-MONOMER
b2123,EG12004-MONOMER
b0927,G6475-MONOMER
b4053,ALARACEBIOSYN-MONOMER
b0585,EG10299-MONOMER
b0791,G6408-MONOMER
b1787,G6973-MONOMER
b3985,EG10871-MONOMER
b1193,G6622-MONOMER
b0577,G6323-MONOMER
b0050,EG10047-MONOMER
b2097,FRUCBISALD-CLASSI-MONOMER
b3099,G7613-MONOMER
b1357,G6681-MONOMER
b0168,EG10570-MONOMER
b4179,EG11259-MONOMER
b2303,H2NTPEPIM-MONOMER
b1607,G6863-MONOMER
b4155,EG11211-MONOMER
b1390,G6711-MONOMER
b3415,GNTT-MONOMER
b1910,cysT-tRNA
b1609,RSTB-MONOMER
b2669,EG11554-MONOMER
b1108,G6568-MONOMER
b0356,ADHC-MONOMER
b3618,EG11188-MONOMER
b1396,G6717-MONOMER
b0623,EG12179-MONOMER
b3239,G7684-MONOMER
b0233,G6117-MONOMER
b1291,SAPD-MONOMER
b4535,MONOMER0-2675
b2795,EG12373-MONOMER
b3136,G7634-MONOMER
b2481,MONOMER0-152
b3283,G7699-MONOMER
b1222,NARX-MONOMER
b3486,YHIH-MONOMER
b2065,DCTP-DEAM-MONOMER
b2791,G7449-MONOMER
b0809,GLNQ-MONOMER
b1167,G6607-MONOMER
b3134,G7633-MONOMER
b1617,BETA-GLUCURONID-MONOMER
b1352,EG12155-MONOMER
b1643,G6883-MONOMER
b3553,MONOMER-43
b2794,G7452-MONOMER
b1566,G6833-MONOMER
b2739,G7420-MONOMER
b0940,G6482-MONOMER
b4679,MONOMER0-2879
b0934,YCBM-MONOMER
b0998,EG12195-MONOMER
b1605,ARCD-MONOMER
b2814,metZ-tRNA
b0216,aspV-tRNA
b0618,CITC-MONOMER
b2588,RRFG-RRNA
b1889,MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN
b3149,YRAO-MONOMER
b4529,MONOMER0-2672
b0969,EG12876-MONOMER
b1800,G6986-MONOMER
b3765,EG11260-MONOMER
b3324,G7702-MONOMER
b3002,G7559-MONOMER
b2169,FRUB-MONOMER
b1394,G6715-MONOMER
b2366,DSERDEAM-MONOMER
b3068,EG12717-MONOMER
b3873,EG11839-MONOMER
b0006,EG10011-MONOMER
b3559,GLYS-MONOMER
b0307,G6177-MONOMER
b0771,G6401-MONOMER
b2029,6PGLUCONDEHYDROG-MONOMER
b4124,DCUR-MONOMER
b2136,EG12017-MONOMER
b1659,EG12140-MONOMER
b3957,ACETYLORNDEACET-MONOMER
b3857,EG11829-MONOMER
b1388,G6709-MONOMER
b3274,RRFD-RRNA
b3770,BRANCHED-CHAINAMINOTRANSFER-MONOMER
b3877,YIHP-MONOMER
b3501,EG12235-MONOMER
b1769,YDJE-MONOMER
b2484,MONOMER0-141
b3554,EG12273-MONOMER
b2161,YEIJ-MONOMER
b3349,EG11663-MONOMER
b0427,B0427-MONOMER
b0601,G6330-MONOMER
b2105,G7137-MONOMER
b3811,EG11069-MONOMER
b3222,NANK-MONOMER
b3717,EG11727-MONOMER
b4670,MONOMER0-2869
b4038,EG11927-MONOMER
b2592,EG10157-MONOMER
b0920,EG12166-MONOMER
b1880,G7028-MONOMER
b1159,EG10573-MONOMER
b0295,G6166-MONOMER
b3448,EG11184-MONOMER
b4526,MONOMER0-1001
b3037,EG11164-MONOMER
b1034,G6540-MONOMER
b2465,TRANSKETOII-MONOMER
b4200,EG10905-MONOMER
b0869,G6454-MONOMER
b0392,G6231-MONOMER
b0556,G6311-MONOMER
b4065,YJCE-MONOMER
b0053,EG10985-MONOMER
b4315,EG11974-MONOMER
b2149,MGLA-MONOMER
b2798,EG12372-MONOMER
b0958,EG10984-MONOMER
b3357,PD00257
b3656,EG11685-MONOMER
b1334,PD00197
b2919,G7516-MONOMER
b3516,EG12243-MONOMER
b0415,LUMAZINESYN-MONOMER
b2738,G7419-MONOMER
b2906,EG11333-MONOMER
b4119,ALPHAGALACTOSID-MONOMER
b0164,EG12337-MONOMER
b1786,G6972-MONOMER
b4483,EG11481-MONOMER
b1122,G6579-MONOMER
b1135,G6581-MONOMER
b0807,G6416-MONOMER
b3470,EG12216-MONOMER
b3776,G7797-MONOMER
b3162,EG10215-MONOMER
b2150,MGLB-MONOMER
b1085,G6563-MONOMER
b0975,EG10471-MONOMER
b0029,EG11081-MONOMER
b3082,G7601-MONOMER
b4545,MONOMER0-2683
b4319,EG10314-MONOMER
b1717,EG11231-MONOMER
b4294,G7908-MONOMER
b2056,G7101-MONOMER
b2468,EG12409-MONOMER
b2046,G7097-MONOMER
b0477,GSK-MONOMER
b0470,EG10245-MONOMER
b1793,G6979-MONOMER
b0498,EG11769-MONOMER
b0126,EG12319-MONOMER
b4414,T44-RNA
b0383,ALKAPHOSPHA-MONOMER
b4480,EG11449-MONOMER
b2190,EG12051-MONOMER
b3645,EG11193-MONOMER
b2571,G7348-MONOMER
b0808,G6417-MONOMER
b4182,G7847-MONOMER
b4369,leuP-tRNA
b4469,G7568-MONOMER
b3313,EG10877-MONOMER
b3508,EG11400-MONOMER
b4302,SGCA-MONOMER
b1261,TRYPSYN-BPROTEIN
b2355,G7224-MONOMER
b2392,YFEP-MONOMER
b3513,EG12240-MONOMER
b3063,YGJE-MONOMER
b0840,PD01196
b1930,EG11661-MONOMER
b3288,EG11268-MONOMER
b0315,EG11236-MONOMER
b3293,EG11970-MONOMER
b0736,EG11110-MONOMER
b3756,RRSC-RRNA
b4019,HOMOCYSMETB12-MONOMER
b4131,LYSDECARBOX-MONOMER
b3455,LIVG-MONOMER
b1150,G6594-MONOMER
b3665,EG11692-MONOMER
b2863,G7483-MONOMER
b0912,PD00348
b2224,ACETYL-COA-ACETYLTRANSFER-MONOMER
b1916,PD02198
b1319,G6657-MONOMER
b3261,PD00196
b3130,G7629-MONOMER
b2410,EG12376-MONOMER
b2378,PALMITOTRANS-MONOMER
b4002,EG11918-MONOMER
b4625,RNA0-334
b0275,MONOMER0-4227
b3079,G7598-MONOMER
b4441,TKE1-RNA
b4418,SRAB-RNA
b4585,RNA0-123
b1716,EG10881-MONOMER
b0377,SBMA-MONOMER
b0743,lysT-tRNA
b4293,PD00440
b4040,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER
b1384,G6706-MONOMER
b0852,EG10852-MONOMER
b3509,EG11399-MONOMER
b4603,RNA0-327
b0316,G6181-MONOMER
b1140,EG12370-MONOMER
b1993,COBU-MONOMER
b2694,argV-tRNA
b3675,EG11695-MONOMER
b2670,G7399-MONOMER
b1757,G6952-MONOMER
b1853,EG12860-MONOMER
b2677,PROV-MONOMER
b0482,G6258-MONOMER
b2433,G7268-MONOMER
b2092,GATC-MONOMER
b3331,G7709-MONOMER
b4533,MONOMER0-2674
b1470,G6771-MONOMER
b3673,EMRD-MONOMER
b0754,AROG-MONOMER
b3409,FEOB-MONOMER
b2804,EG10355-MONOMER
b2479,EG11149-MONOMER
b4342,G7938-MONOMER
b1999,G7079-MONOMER
b0748,RNA0-302
b0232,G6116-MONOMER
b3054,EG11603-MONOMER
b0226,G6110-MONOMER
b0469,ADENPRIBOSYLTRAN-MONOMER
b1082,EG11967-MONOMER
b1120,G6577-MONOMER
b3234,G7682-MONOMER
b3428,GLYCOPHOSPHORYL-MONOMER
b2608,EG11153-MONOMER
b2008,EG11891-MONOMER
b1202,G6629-MONOMER
b0285,G6156-MONOMER
b1790,G6976-MONOMER
b1789,G6975-MONOMER
b0977,EG10473-MONOMER
b3013,G7566-MONOMER
b1715,EG11272-MONOMER
b1043,G6548-MONOMER
b4171,EG10595-MONOMER
b1968,G7056-MONOMER
b2278,NUOL-MONOMER
b4030,EG11209-MONOMER
b2079,BAER-MONOMER
b2064,EG11361-MONOMER
b1508,EG10442-MONOMER
b1970,G7058-MONOMER
b1758,G6953-MONOMER
b3167,EG11178-MONOMER
b2226,G7153-MONOMER
b0324,G6189-MONOMER
b2625,G7360-MONOMER
b0494,THIOESTERI-MONOMER
b2586,EG12857-MONOMER
b4393,PD00423
b0913,EG12375-MONOMER
b3139,AGAC-MONOMER
b0030,EG11082-MONOMER
b2148,MGLC-MONOMER
b2719,HYCG-MONOMER
b2634,G7369-MONOMER
b4421,MONOMER0-1602
b2939,G7521-MONOMER
b4005,GLYCRIBONUCSYN-MONOMER
b3421,G7751-MONOMER
b4611,RNA0-332
b0544,G6300-MONOMER
b0833,G6433-MONOMER
b4057,EG11936-MONOMER
b2061,G7106-MONOMER
b0951,G6491-MONOMER
b1871,G7021-MONOMER
b3942,HYDROPEROXIDI-MONOMER
b1940,EG11656-MONOMER
b3244,G7689-MONOMER
b4429,RNA0-165
b1850,KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER
b1527,G6813-MONOMER
b2250,G7163-MONOMER
b0827,EG10153-MONOMER
